,B,I,,,,
,-38.62027,7.21861,,,,
,-38.59585,7.35604,,,,
,-38.57143,7.515562,,,,
,-38.54701,7.674609,,,,
,-38.52259,7.833321,,,,
,-38.49817,8.017721,,,,
,-38.47375,8.236646,,,,
,-38.44933,8.395698,,,,
,-38.42491,8.565321,,,,
,-38.40049,8.727864,,,,
,-38.37607,8.869609,,,,
,-38.35165,8.967551,,,,
,-38.32723,8.955261,,,,
,-38.30281,8.88163,,,,
,-38.27839,8.718573,,,,
,-38.25397,8.509655,,,,
,-38.22955,8.246212,,,,
,-38.20513,7.963908,,,,
,-38.18071,7.68897,,,,
,-38.15629,7.495627,,,,
,-38.13187,7.357029,,,,
,-38.10745,7.251548,,,,
,-38.08303,7.200525,,,,
,-38.05861,7.215588,,,,
,-38.03419,7.26657,,,,
,-38.00977,7.312643,,,,
,-37.98535,7.361239,,,,
,-37.96093,7.457918,,,,
,-37.93651,7.644502,,,,
,-37.91209,7.836469,,,,
,-37.88767,8.018032,,,,
,-37.86325,8.170053,,,,
,-37.83883,8.318424,,,,
,-37.81441,8.496326,,,,
,-37.78999,8.701353,,,,
,-37.76557,8.896805,,,,
,-37.74115,9.12403,,,,
,-37.71673,9.378535,,,,
,-37.69231,9.622873,,,,
,-37.66789,9.854222,,,,
,-37.64347,10.06497,,,,
,-37.61905,10.18992,,,,
,-37.59463,10.21899,,,,
,-37.57021,10.22776,,,,
,-37.54579,10.24081,,,,
,-37.52137,10.26726,,,,
,-37.49695,10.32711,,,,
,-37.47253,10.42607,,,,
,-37.44811,10.5434,,,,
,-37.42369,10.65087,,,,
,-37.39927,10.75306,,,,
,-37.37485,10.83162,,,,
,-37.35043,10.85623,,,,
,-37.32601,10.84406,,,,
,-37.30159,10.79138,,,,
,-37.27717,10.68935,,,,
,-37.25275,10.55974,,,,
,-37.22833,10.50463,,,,
,-37.20391,10.51415,,,,
,-37.17949,10.51281,,,,
,-37.15507,10.46902,,,,
,-37.13065,10.44061,,,,
,-37.10623,10.42714,,,,
,-37.08181,10.41015,,,,
,-37.05739,10.34571,,,,
,-37.03297,10.22947,,,,
,-37.00855,10.06711,,,,
