B,I
-44.89744,17.43502
-44.85592,17.39077
-44.81441,17.39648
-44.77289,17.46065
-44.73138,17.53138
-44.68987,17.59375
-44.64835,17.64527
-44.60684,17.68197
-44.56532,17.69842
-44.52381,17.7072
-44.4823,17.73438
-44.44078,17.75781
-44.39927,17.77483
-44.35775,17.77461
-44.31624,17.74638
-44.27473,17.70215
-44.23321,17.65838
-44.1917,17.61554
-44.15018,17.55535
-44.10867,17.48431
-44.06716,17.43361
-44.02564,17.43704
-43.98413,17.47915
-43.94261,17.57918
-43.9011,17.77294
-43.85958,18.03854
-43.81807,18.30409
-43.77656,18.51928
-43.73504,18.70342
-43.69353,18.8829
-43.65201,19.07841
-43.6105,19.31636
-43.56899,19.55178
-43.52747,19.75153
-43.48596,19.98167
-43.44444,20.26384
-43.40293,20.51117
-43.36142,20.67731
-43.3199,20.78553
-43.27839,20.87982
-43.23687,20.96556
-43.19536,21.03314
-43.15385,21.06321
-43.11233,21.04367
-43.07082,20.99362
-43.0293,20.94356
-42.98779,20.89053
-42.94628,20.85049
-42.90476,20.82254
-42.86325,20.75564
-42.82173,20.64652
-42.78022,20.52088
-42.73871,20.37728
-42.69719,20.23289
-42.65568,20.10497
-42.61416,19.9956
-42.57265,19.89182
-42.53114,19.78541
-42.48962,19.69675
-42.44811,19.66151
-42.40659,19.68694
-42.36508,19.75589
-42.32357,19.86232
-42.28205,20.0041
-42.24054,20.14211
-42.19902,20.21406
-42.15751,20.2461
-42.116,20.28091
-42.07448,20.3371
-42.03297,20.41898
-41.99145,20.52063
-41.94994,20.64353
-41.90842,20.7469
-41.86691,20.81855
-41.8254,20.87517
-41.78388,20.93728
-41.74237,21.00472
-41.70085,21.07266
-41.65934,21.13172
-41.61783,21.17354
-41.57631,21.19872
-41.5348,21.20142
-41.49328,21.2202
-41.45177,21.27978
-41.41026,21.33566
-41.36874,21.3493
-41.32723,21.34336
-41.28571,21.34469
-41.2442,21.33572
-41.20269,21.32391
-41.16117,21.35095
-41.11966,21.44453
-41.07814,21.59612
-41.03663,21.7621
-40.99512,21.93745
-40.9536,22.10981
-40.91209,22.2543
-40.87057,22.38465
-40.82906,22.51986
-40.78755,22.65622
-40.74603,22.79617
-40.70452,22.92074
-40.663,23.01946
-40.62149,23.11168
-40.57998,23.22739
-40.53846,23.37833
-40.49695,23.52944
-40.45543,23.66622
-40.41392,23.79711
-40.37241,23.9024
-40.33089,23.9623
-40.28938,23.98713
-40.24786,24.00384
-40.20635,24.00038
-40.16484,23.9166
-40.12332,23.77432
-40.08181,23.63341
-40.04029,23.51223
-39.99878,23.42614
-39.95726,23.37973
-39.91575,23.36553
-39.87424,23.39599
-39.83272,23.45973
-39.79121,23.52869
-39.74969,23.59678
-39.70818,23.65238
-39.66667,23.72289
-39.62515,23.84958
-39.58364,23.98091
-39.54212,24.0605
-39.50061,24.09476
-39.4591,24.1018
-39.41758,24.11346
-39.37607,24.16317
-39.33455,24.23869
-39.29304,24.29978
-39.25153,24.3219
-39.21001,24.31647
-39.1685,24.29579
-39.12698,24.25934
-39.08547,24.22974
-39.04396,24.20149
-39.00244,24.16382
-38.96093,24.12607
-38.91941,24.08956
-38.8779,24.06094
-38.83639,24.07093
-38.79487,24.10987
-38.75336,24.16197
-38.71184,24.26138
-38.67033,24.39917
-38.62882,24.52782
-38.5873,24.61328
-38.54579,24.67135
-38.50427,24.72743
-38.46276,24.77931
-38.42125,24.82778
-38.37973,24.88764
-38.33822,24.9261
-38.2967,24.91847
-38.25519,24.84389
-38.21368,24.73555
-38.17216,24.64561
-38.13065,24.58692
-38.08913,24.57045
-38.04762,24.6029
-38.00611,24.6941
-37.96459,24.85157
-37.92308,25.06673
-37.88156,25.31507
-37.84005,25.57958
-37.79853,25.80848
-37.75702,25.96824
-37.71551,26.06855
-37.67399,26.15682
-37.63248,26.26206
-37.59096,26.40021
-37.54945,26.54572
-37.50794,26.68035
-37.46642,26.80933
-37.42491,26.94142
-37.38339,27.08136
-37.34188,27.20552
-37.30037,27.26703
-37.25885,27.2569
-37.21734,27.21208
-37.17582,27.17054
-37.13431,27.11927
-37.0928,27.05595
-37.05128,27.00945
-37.00977,26.9864
-36.96825,26.99254
-36.92674,27.06534
-36.88523,27.20543
-36.84371,27.3896
-36.8022,27.59717
-36.76068,27.82654
-36.71917,28.09183
-36.67766,28.37566
-36.63614,28.6721
-36.59463,28.96026
-36.55311,29.24806
-36.5116,29.52871
-36.47009,29.73797
-36.42857,29.84798
-36.38706,29.88535
-36.34554,29.90463
-36.30403,29.90718
-36.26252,29.87854
-36.221,29.82699
-36.17949,29.76502
-36.13797,29.73001
-36.09646,29.72216
-36.05495,29.71686
-36.01343,29.69219
-35.97192,29.63613
-35.9304,29.55682
-35.88889,29.51916
-35.84737,29.5669
-35.80586,29.63869
-35.76435,29.67671
-35.72283,29.69511
-35.68132,29.72756
-35.6398,29.7732
-35.59829,29.78039
-35.55678,29.74144
-35.51526,29.71131
-35.47375,29.71508
-35.43223,29.74567
-35.39072,29.78725
-35.34921,29.8236
-35.30769,29.8493
-35.26618,29.85069
-35.22466,29.83053
-35.18315,29.77988
-35.14164,29.68488
-35.10012,29.56514
-35.05861,29.46223
-35.01709,29.39708
-34.97558,29.37965
-34.93407,29.37884
-34.89255,29.37622
-34.85104,29.38635
-34.80952,29.41323
-34.76801,29.46486
-34.7265,29.56255
-34.68498,29.67568
-34.64347,29.78322
-34.60195,29.87054
-34.56044,29.96338
-34.51893,30.05341
-34.47741,30.10034
-34.4359,30.10293
-34.39438,30.10253
-34.35287,30.11524
-34.31136,30.13756
-34.26984,30.16334
-34.22833,30.17368
-34.18681,30.18541
-34.1453,30.22834
-34.10379,30.3006
-34.06227,30.39576
-34.02076,30.52058
-33.97924,30.66729
-33.93773,30.799
-33.89621,30.92167
-33.8547,31.04014
-33.81319,31.13209
-33.77167,31.21879
-33.73016,31.32096
-33.68864,31.42968
-33.64713,31.54114
-33.60562,31.66137
-33.5641,31.81315
-33.52259,31.96852
-33.48107,32.10725
-33.43956,32.24795
-33.39805,32.38437
-33.35653,32.52246
-33.31502,32.66745
-33.2735,32.79526
-33.23199,32.90932
